33554432,16777216
33571209,16802381
33587969,16827601
33604712,16852875
33621438,16878204
33638147,16903588
33654839,16929027
33671513,16954521
33688170,16980070
33704810,17005675
33721432,17031335
33738037,17057051
33754624,17082822
33771193,17108649
33787744,17134532
33804277,17160471
33820792,17186466
33837289,17212518
33853768,17238626
33870229,17264791
33886671,17291012
33903095,17317290
33919500,17343625
33935886,17370017
33952254,17396466
33968603,17422972
33984933,17449536
34001244,17476157
34017536,17502836
34033808,17529573
34050061,17556367
34066295,17583219
34082509,17610129
34098704,17637098
34114879,17664125
34131034,17691210
34147169,17718354
34163284,17745557
34179379,17772818
34195454,17800138
34211509,17827517
34227543,17854956
34243557,17882454
34259550,17910011
34275522,17937628
34291474,17965305
34307405,17993041
34323315,18020837
34339204,18048693
34355072,18076609
34370918,18104586
34386743,18132623
34402547,18160721
34418329,18188879
34434089,18217098
34449828,18245378
34465545,18273719
34481240,18302121
34496913,18330584
34512564,18359109
34528193,18387695
34543799,18416343
34559383,18445053
34574944,18473825
34590483,18502659
34605999,18531555
34621492,18560513
34636962,18589533
34652409,18618616
34667833,18647762
34683234,18676970
34698611,18706241
34713965,18735575
34729295,18764972
34744602,18794433
34759885,18823957
34775144,18853545
34790379,18883196
34805590,18912911
34820777,18942690
34835939,18972533
34851077,19002440
34866191,19032411
34881280,19062447
34896344,19092547
34911384,19122712
34926399,19152942
34941389,19183237
34956354,19213597
34971293,19244022
34986207,19274512
35001096,19305068
35015959,19335689
35030796,19366376
35045608,19397129
35060394,19427948
35075154,19458833
35089888,19489784
35104596,19520801
35119277,19551885
35133932,19583036
35148560,19614253
35163162,19645537
35177737,19676888
35192285,19708306
35206806,19739792
35221300,19771345
35235767,19802965
35250207,19834653
35264619,19866409
35279004,19898233
35293361,19930125
35307691,19962085
35321993,19994113
35336267,20026210
35350513,20058375
35364731,20090609
35378921,20122912
35393082,20155284
35407215,20187725
35421319,20220235
35435394,20252814
35449441,20285463
35463459,20318182
35477448,20350970
35491407,20383828
35505337,20416756
35519238,20449754
35533109,20482823
35546951,20515962
35560763,20549172
35574545,20582452
35588297,20615803
35602019,20649225
35615711,20682718
35629373,20716282
35643004,20749918
35656605,20783625
35670175,20817404
35683714,20851254
35697223,20885176
35710701,20919170
35724148,20953236
35737563,20987375
35750947,21021586
35764300,21055870
35777621,21090226
35790910,21124655
35804168,21159157
35817394,21193732
35830588,21228380
35843750,21263102
35856879,21297897
35869976,21332766
35883040,21367708
35896072,21402724
35909071,21437814
35922037,21472979
35934970,21508218
35947870,21543531
35960737,21578919
35973571,21614381
35986371,21649918
35999138,21685530
36011871,21721217
36024570,21756979
36037235,21792817
36049866,21828730
36062463,21864719
36075026,21900784
36087554,21936925
36100048,21973142
36112507,22009435
36124931,22045804
36137321,22082249
36149676,22118771
36161995,22155370
36174279,22192046
36186528,22228798
36198741,22265628
36210919,22302535
36223061,22339519
36235167,22376581
36247237,22413720
36259271,22450937
36271269,22488232
36283231,22525605
36295156,22563056
36307044,22600585
36318896,22638193
36330711,22675880
36342489,22713645
36354230,22751489
36365934,22789412
36377600,22827414
36389229,22865495
36400820,22903656
36412374,22941896
36423890,22980216
36435368,23018616
36446808,23057096
36458210,23095656
36469573,23134296
36480898,23173016
36492184,23211817
36503431,23250698
36514640,23289660
36525810,23328703
36536941,23367827
36548032,23407032
36559084,23446318
36570097,23485685
36581070,23525134
36592003,23564665
36602896,23604277
36613750,23643971
36624563,23683747
36635336,23723606
36646069,23763547
