131072,65536
131138,65635
131204,65734
131270,65833
131336,65933
131402,66033
131468,66133
131534,66233
131600,66334
131665,66435
131730,66536
131795,66637
131860,66738
131925,66840
131990,66942
132055,67044
132120,67146
132185,67249
132250,67352
132315,67455
132380,67558
132445,67661
132510,67765
132574,67869
132638,67973
132702,68077
132766,68182
132830,68287
132894,68392
132958,68497
133022,68602
133086,68708
133150,68814
133214,68920
133278,69026
133342,69133
133405,69240
133468,69347
133531,69454
133594,69562
133657,69670
133720,69778
133783,69886
133846,69994
133909,70103
133972,70212
134035,70321
134098,70430
134160,70540
134222,70650
134284,70760
134346,70870
134408,70981
134470,71092
134532,71203
134594,71314
134656,71426
134718,71538
134780,71650
134842,71762
134903,71875
134964,71988
135025,72101
135086,72214
135147,72328
135208,72442
135269,72556
135330,72670
135391,72785
135452,72900
135513,73015
135573,73130
135633,73246
135693,73362
135753,73478
135813,73594
135873,73711
135933,73828
135993,73945
136053,74062
136113,74180
136172,74298
136231,74416
136290,74534
136349,74653
136408,74772
136467,74891
136526,75010
136585,75130
136644,75250
136703,75370
136762,75490
136820,75611
136878,75732
136936,75853
136994,75974
137052,76096
137110,76218
137168,76340
137226,76462
137284,76585
137341,76708
137398,76831
137455,76955
137512,77079
137569,77203
137626,77327
137683,77452
137740,77577
137797,77702
137854,77827
137910,77953
137966,78079
138022,78205
138078,78331
138134,78458
138190,78585
138246,78712
138302,78840
138358,78968
138413,79096
138468,79224
138523,79353
138578,79482
138633,79611
138688,79741
138743,79871
138798,80001
138852,80131
138906,80262
138960,80393
139014,80524
139068,80655
139122,80787
139176,80919
139230,81051
139284,81184
139337,81317
139390,81450
139443,81583
139496,81717
139549,81851
139602,81985
139655,82120
139708,82255
139760,82390
139812,82525
139864,82661
139916,82797
139968,82933
140020,83070
140072,83207
140124,83344
140175,83481
140226,83619
140277,83757
140328,83895
140379,84034
140430,84173
140481,84312
140531,84452
140581,84592
140631,84732
140681,84872
140731,85013
140781,85154
140831,85295
140881,85437
140930,85579
140979,85721
141028,85864
141077,86007
141126,86150
141175,86293
141224,86437
141272,86581
141320,86725
141368,86870
141416,87015
141464,87160
141512,87306
141560,87452
141607,87598
141654,87745
141701,87892
141748,88039
141795,88186
141842,88334
141889,88482
141935,88630
141981,88779
142027,88928
142073,89077
142119,89227
142165,89377
142211,89527
142256,89678
142301,89829
142346,89980
142391,90132
142436,90284
142481,90436
142525,90588
142569,90741
142613,90894
142657,91047
142701,91201
142745,91355
142789,91509
142832,91664
142875,91819
142918,91974
142961,92130
143004,92286
143047,92442
143089,92599
143131,92756
143173,92913
143215,93071
143257,93229
143299,93387
143340,93546
143381,93705
143422,93864
143463,94024
143504,94184
143545,94344
143586,94505
143626,94666
143666,94827
143706,94989
143746,95151
143786,95313
143826,95476
143865,95639
143904,95802
143943,95966
143982,96130
144021,96294
144059,96459
144097,96624
144135,96789
144173,96955
144211,97121
144249,97287
144286,97454
144323,97621
144360,97788
144397,97956
144434,98124
144471,98292
144507,98461
144543,98630
144579,98799
144615,98969
144651,99139
144686,99309
144721,99480
144756,99651
144791,99822
144826,99994
144861,100166
144895,100339
144929,100512
144963,100685
144997,100859
145031,101033
145064,101207
145097,101382
145130,101557
145163,101732
145196,101908
145229,102084
145261,102260
145293,102437
145325,102614
145357,102791
145389,102969
145420,103147
145451,103326
145482,103505
145513,103684
145544,103864
145574,104044
145604,104224
145634,104405
145664,104586
145694,104767
145723,104949
145752,105131
145781,105314
145810,105497
145839,105680
145867,105864
145895,106048
145923,106232
145951,106417
145979,106602
146006,106787
146033,106973
146060,107159
146087,107346
146114,107533
146140,107720
146166,107908
146192,108096
146218,108284
146244,108473
146269,108662
146294,108852
146319,109042
146344,109232
146369,109423
146393,109614
146417,109805
146441,109997
146465,110189
146489,110382
146512,110575
146535,110768
146558,110962
146581,111156
146603,111350
146625,111545
146647,111740
146669,111936
146691,112132
146712,112328
146733,112525
146754,112722
146775,112919
146795,113117
146815,113315
146835,113514
146855,113713
146875,113912
146894,114112
146913,114312
146932,114513
146951,114714
146969,114915
146987,115117
147005,115319
147023,115521
147041,115724
147058,115927
147075,116131
147092,116335
147109,116539
147125,116744
147141,116949
147157,117155
147173,117361
147189,117567
147204,117774
147219,117981
147234,118188
147249,118396
147263,118604
147277,118813
147291,119022
147305,119231
147318,119441
147331,119651
147344,119862
147357,120073
147369,120284
147381,120496
147393,120708
147405,120921
147416,121134
147427,121347
