0x802E03F1,0x01665CF5
0x002E2ECE,0x0166F70E
0x002E5983,0x01679179
0x802E8410,0x01682C35
0x802EAE76,0x0168C743
0x002ED8B3,0x016962A3
0x002F02C8,0x0169FE56
0x002F2CB5,0x016A9A5B
0x802F5679,0x016B36B2
0x802F8015,0x016BD35C
0x002FA988,0x016C7059
0x002FD2D2,0x016D0DA8
0x002FFBF3,0x016DAB4A
0x803024EB,0x016E4940
0x80304DBA,0x016EE789
0x0030765F,0x016F8625
0x00309EDB,0x01702515
0x0030C72D,0x0170C458
0x8030EF56,0x017163EF
0x80311755,0x017203DA
0x00313F2A,0x0172A419
0x003166D5,0x017344AC
0x00318E55,0x0173E593
0x8031B5AB,0x017486CF
0x8031DCD6,0x0175285F
0x003203D7,0x0175CA44
0x00322AAD,0x01766C7E
0x80325158,0x01770F0D
0x803277D8,0x0177B1F1
0x80329E2D,0x0178552A
0x0032C456,0x0178F8B9
0x0032EA54,0x01799C9D
0x80331026,0x017A40D7
0x803335CD,0x017AE566
0x00335B48,0x017B8A4B
0x00338097,0x017C2F86
0x0033A5BA,0x017CD517
0x8033CAB1,0x017D7AFF
0x8033EF7B,0x017E213D
0x00341419,0x017EC7D1
0x0034388A,0x017F6EBC
0x00345CCF,0x018015FE
0x803480E7,0x0180BD97
0x8034A4D2,0x01816587
0x0034C890,0x01820DCE
0x0034EC20,0x0182B66C
0x00350F83,0x01835F62
0x803532B8,0x018408AF
0x803555C0,0x0184B254
0x0035789A,0x01855C51
0x00359B46,0x018606A5
0x8035BDC4,0x0186B151
0x8035E014,0x01875C56
0x80360236,0x018807B3
0x00362429,0x0188B368
0x003645EE,0x01895F76
0x80366784,0x018A0BDD
0x803688EB,0x018AB89C
0x8036AA23,0x018B65B4
0x0036CB2C,0x018C1325
0x0036EC06,0x018CC0EF
0x80370CB0,0x018D6F13
0x80372D2B,0x018E1D90
0x00374D76,0x018ECC67
0x00376D91,0x018F7B97
0x00378D7D,0x01902B21
0x8037AD39,0x0190DB05
0x8037CCC4,0x01918B43
0x0037EC1F,0x01923BDB
0x00380B4A,0x0192ECCE
0x00382A44,0x01939E1B
0x8038490E,0x01944FC2
0x803867A7,0x019501C4
0x0038860F,0x0195B421
0x0038A446,0x019666D9
0x0038C24B,0x019719EC
0x8038E01F,0x0197CD5A
0x8038FDC2,0x01988123
0x00391B33,0x01993548
0x00393872,0x0199E9C8
0x8039557F,0x019A9EA4
0x8039725A,0x019B53DB
0x80398F03,0x019C096E
0x0039AB7A,0x019CBF5D
0x0039C7BF,0x019D75A8
0x8039E3D1,0x019E2C4F
0x8039FFB0,0x019EE353
0x003A1B5D,0x019F9AB3
0x003A36D7,0x01A05270
0x003A521E,0x01A10A89
0x803A6D32,0x01A1C2FF
0x803A8812,0x01A27BD2
0x003AA2BF,0x01A33502
0x003ABD38,0x01A3EE8F
0x003AD77D,0x01A4A879
0x803AF18F,0x01A562C1
0x803B0B6D,0x01A61D66
0x003B2516,0x01A6D869
0x003B3E8B,0x01A793CA
0x003B57CC,0x01A84F88
0x803B70D8,0x01A90BA4
0x803B89B0,0x01A9C81E
0x003BA253,0x01AA84F7
0x003BBAC1,0x01AB422E
0x803BD2FA,0x01ABFFC3
0x803BEAFE,0x01ACBDB7
0x803C02CC,0x01AD7C09
0x003C1A65,0x01AE3ABA
0x003C31C8,0x01AEF9CA
0x003C48F6,0x01AFB939
0x803C5FEE,0x01B07907
0x803C76B0,0x01B13934
0x003C8D3C,0x01B1F9C0
0x003CA392,0x01B2BAAC
0x803CB9B1,0x01B37BF7
0x803CCF9A,0x01B43DA2
0x003CE54C,0x01B4FFAC
0x003CFAC7,0x01B5C216
0x003D100B,0x01B684E0
0x803D2518,0x01B7480A
